quant,0,Business Development Manager,KBX RECRUITMENT PTE. LTD.,East,,,Permanent,Manager,Human Resources,https://www.mycareersfuture.gov.sg/job/human-resources/business-development-manager-united-service-technology-decc0be0fcdcd568f582ebd339f28f78?source=MCF&event=SuggestedJob,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0
data analyst,0,Senior HRIS Analyst,HAYS SPECIALIST RECRUITMENT PTE. LTD.,Central,,,Permanent,Senior Executive,Human Resources,https://www.mycareersfuture.gov.sg/job/human-resources/senior-hris-analyst-hays-specialist-recruitment-39f9b97ea8d0ebeac6688d2b93b0fbdc?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0
business analyst,2,IT Business Analyst,ADECCO PERSONNEL PTE LTD,Central,,,Permanent ...,Senior Executive,Human Resources,https://www.mycareersfuture.gov.sg/job/human-resources/business-analyst-adecco-personnel-587dde51ee5307efa065f07ba968526d?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=2
