company,job_url,location,page_index,posted,salary,search_query,source_url,title
FORWARD 3D SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/advertising/senior-analyst-experience-activation-forward-3d-singapore-22a212656724b81c4113bc06bac2bd5a?source=MCF&event=Search,Central,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,"Senior Analyst, Experience & Activation"
LUMENS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/design/data-analyst-intern-lumens-fac65e2774e0b2a1d9c610b548eac997?source=MCF&event=Search,North,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,Data Analyst Intern
EVO OUTSOURCING SOLUTIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/data-analyst-evo-outsourcing-solutions-740a1b041bd41bce477f9f412b7fdab0?source=MCF&event=Search,Central,0,,,data analyst,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0,Data Analyst
UPSKILLS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/business-analyst-junior-consultant-upskills-5670ccb45d826273966fa548ec1a001c?source=MCF&event=Search,Central,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Business Analyst /  Junior Consultant
SIMPLE SOLUTION SYSTEMS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/business-analyst-simple-solution-systems-441a996419745e86f9d96128e163da80?source=MCF&event=Search,Islandwide,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Business Analyst (Government Projects)
MARVELL ASIA PTE LTD,https://www.mycareersfuture.gov.sg/job/information-technology/business-analyst-marvell-asia-70905c96d7ae9eed84289b7c0f0f20b9?source=MCF&event=SuggestedJob,Central,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Business Analyst
INNOVATIVE CONSULTING PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/business-analyst-innovative-consulting-9a93dc02c87199e49ec4eee224f40a02?source=MCF&event=Search,Islandwide,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,IT Business Analyst
THE EDGE CONTRACTING SERVICES PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/business-analyst-service-management-edge-contracting-services-5f8e354200c7e030c628c79fc00bbcd3?source=MCF&event=Search,Central,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,IT Business Analyst - IT Service Management (ITSM)
SCALEUP CENTRE PRIVATE LIMITED,https://www.mycareersfuture.gov.sg/job/others/temenos-t24-business-analyst-scaleup-centre-22c59dcc82e0733f96fd3fe57eb08349?source=MCF&event=Search,Islandwide,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Temenos T24 Business Analyst
INFINITE COMPUTER SOLUTIONS PTE LTD,https://www.mycareersfuture.gov.sg/job/information-technology/business-analyst-infinite-computer-solutions-078385fd602c9dc4b5e94e7768fc663e?source=MCF&event=Search,East,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Business Analyst
BLAZECORP PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/business-analyst-blazecorp-2f79fc742ea517ba04d66fc30faedd1e?source=MCF&event=Search,West,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Business Analyst
WEBSPARKS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/business-analyst-1-year-contract-websparks-b745632314b613ae6217db530f0e1b55?source=MCF&event=Search,Islandwide,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Business Analyst [1-year Contract]
SCIENTE INTERNATIONAL PTE. LTD.,https://www.mycareersfuture.gov.sg/job/hospitality/junior-business-analyst-sciente-international-2631e3a73067b1e5fb07bc3e96dfc505?source=MCF&event=Search,Islandwide,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Junior Business Analyst
MNG AXIONSPLUS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/accounting/jedox-business-analyst-mng-axionsplus-c8582a94f7f783239b78e36b8eeac8e8?source=MCF&event=Search,South,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Jedox Business Analyst
VINOVA PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/business-analyst-vinova-7cd6b82cb11f3b63d9882d875cbcce85?source=MCF&event=Search,Central,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Business Analyst (BA)
THOUGHTWORKS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/consulting/senior-business-analyst-thoughtworks-665aeb56b1212bee256464e11d12b8ff?source=MCF&event=Search,Central,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Senior Business Analyst
CHARTERHOUSE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/business-analyst-trade-finance-charterhouse-d70c7c28c377dcef595a4be461b2ce0f?source=MCF&event=SuggestedJob,Central,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Business Analyst Trade Finance
QUESSCORP SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/business-analyst-%E2%80%93-corporate-digital-banking-platform-quesscorp-singapore-4310274e6c661cd82d4bfa61bc5723a8?source=MCF&event=Search,Islandwide,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Business Analyst – Corporate Digital Banking Platform
TANGSPAC CONSULTING PTE LTD,https://www.mycareersfuture.gov.sg/job/banking-finance/business-analyst-product-owner-tangspac-consulting-a0f8ecab1cc90f495c399245be9fe82e?source=MCF&event=Search,Islandwide,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,"Business Analyst  /  Product Owner (Banking - Rewards , Cards , Channels  /  Contract)"
SCIENTE INTERNATIONAL PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/business-analyst-sciente-international-0176a907d86e73e2b4c74f3ddb71a316?source=MCF&event=Search,Islandwide,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,Business Analyst (Banking Operations & Risk) (JD#10614)
RECRUIT EXPRESS PTE LTD,https://www.mycareersfuture.gov.sg/job/human-resources/hr-business-analyst-hkc-recruit-express-d83715a077af5861998dee56a109b45d?source=MCF&event=Search,Central,0,,,business analyst,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=0,"HR Business Analyst ($5,000 /  MNC) #HKC"
