data analyst,0,"Financial Analyst (Freight forwarding, Entry Level Welcome) [Forrt Canning | 5 days | up to $4400] - LCYL",THE SUPREME HR ADVISORY PTE. LTD.,Central,,,Permanent ...,Senior Executive,Banking and Finance,https://www.mycareersfuture.gov.sg/job/banking-finance/financial-analyst-forrt-canning-5-days-4400-lcyl-supreme-hr-advisory-9eec83f7d29ac25ed37da31e508076b8?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=0
software engineer,0,Software Engineer,AKUNA CAPITAL SINGAPORE PTE. LTD.,Central,,,Full Time,Junior Executive,Banking and Finance,https://www.mycareersfuture.gov.sg/job/banking-finance/software-engineer-akuna-capital-singapore-81f24d56b3127119482118fa4f4cc518?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=software+engineer&sortBy=new_posting_date&page=0
data analyst,1,Financial Analyst (Freight forwarding  /  Logistic  /  Power B1) - SS10,THE SUPREME HR ADVISORY PTE. LTD.,Central,,,Permanent ...,Executive,Banking and Finance,https://www.mycareersfuture.gov.sg/job/banking-finance/financial-analyst-ss10-supreme-hr-advisory-9ab1564e1c52c5e9c99da521a7663a46?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=1
data analyst,1,Financial Analyst | Freight forwarding | Up to $4.4k | 5 Days | Fort Canning - 4769,THE SUPREME HR ADVISORY PTE. LTD.,Islandwide,,,Permanent ...,Junior Executive,Banking and Finance,https://www.mycareersfuture.gov.sg/job/banking-finance/financial-analyst-freight-forwarding-44k-5-days-fort-canning-4769-supreme-hr-advisory-d139c044e2a56a0716c86c638595befa?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=1
business analyst,2,-NEW- 12 Months Junior Business Analyst / UAT testing (Financial Services),AMBITION GROUP SINGAPORE PTE. LTD.,Islandwide,,,Contract ...,Junior Executive,Banking and Finance,https://www.mycareersfuture.gov.sg/job/banking-finance/-new-12-months-junior-business-analyst-uat-testing-ambition-group-singapore-c3079125574850879cdea542dd299b81?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=2
business analyst,2,"IT Projects Delivery Business Analyst up to $8K, East (BANK)",ADECCO PERSONNEL PTE LTD,Central,,,Contract,Non-executive,Banking and Finance,https://www.mycareersfuture.gov.sg/job/banking-finance/projects-delivery-business-analyst-8k-east-adecco-personnel-ca5bc13cafd8e290756c9fdf987d82eb?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=2
business analyst,2,Technical Business Analyst,LIQUID GROUP PTE. LTD.,East,,,Full Time,Professional,Banking and Finance,https://www.mycareersfuture.gov.sg/job/banking-finance/technical-business-analyst-liquid-group-08daedab732cf24905576ca0e791b62f?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=2
business analyst,2,Business Development Analyst,HB EQUITY PARTNERS PTE. LTD.,Central,,,Full Time,Junior Executive,Banking and Finance,https://www.mycareersfuture.gov.sg/job/banking-finance/business-development-analyst-hb-equity-partners-438600a78cdeee7fdd4b94adb2d133c2?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=2
business analyst,2,Risk Business Analyst (JD#10606),SCIENTE INTERNATIONAL PTE. LTD.,Islandwide,,,Contract,Professional,Banking and Finance,https://www.mycareersfuture.gov.sg/job/banking-finance/risk-business-analyst-sciente-international-11886d564f01258fddbb44c2c265c07f?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=business+analyst&sortBy=new_posting_date&page=2
data analyst,2,*Urgent* 6 Months Contract Data Analyst (Banking Sector) - ($3500-$4000) #NJE,RECRUIT EXPRESS PTE LTD,Central,,,Contract ...,Junior Executive,Banking and Finance,https://www.mycareersfuture.gov.sg/job/banking-finance/urgent-6-months-contract-data-analyst-nje-recruit-express-a98803f95f952ab6ca4e67981365f392?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+analyst&sortBy=new_posting_date&page=2
