quant,0,Deployment Engineer (Entry-Level),MOOVITA PTE. LTD.,West,,,Full Time,Junior Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/deployment-engineer-moovita-cb87ba2a920daa2dc6933705f527433b?source=MCF&event=SuggestedJob,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0
software engineer,2,"Senior Software Engineer, Search Platform - Data",AIRWALLEX (SINGAPORE) PTE. LTD.,Central,,,Full Time,Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-search-platform-data-airwallex-391cd41ef4eb2e8dfbab8beaa147c118?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=software+engineer&sortBy=new_posting_date&page=2
data scientist,0,"Data Scientist, SMAI",MICRON SEMICONDUCTOR ASIA OPERATIONS PTE. LTD.,North,,,Full Time,Fresh/entry level,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/data-scientist-smai-micron-semiconductor-asia-operations-585458db32602bb99601b1e8afd0238b?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0
data scientist,0,SMAI Senior Data Scientist,MICRON SEMICONDUCTOR ASIA OPERATIONS PTE. LTD.,North,,,Full Time,Fresh/entry level,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/smai-senior-data-scientist-micron-semiconductor-asia-operations-4be1bab3bfe87948f04065cc2cac657a?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0
data scientist,1,Senior Data Scientist,RAZER (ASIA-PACIFIC) PTE. LTD.,South,,,Permanent ...,Senior Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/senior-data-scientist-razer-d83900a23a8c24708e67fa8299903e6f?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=1
data scientist,1,Data Science Technical Professional,HAL COMPLETIONS MFG PTE. LTD.,West,,,Full Time,Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/data-science-technical-professional-hal-completions-mfg-c460fa24eec2f4fd8da95ec6c4c7b85b?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=1
data scientist,2,Research Scientist (Data Analytics & Machine Learning),ALWAYSHIRED PTE. LTD.,Islandwide,,,Permanent ...,Professional,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/research-scientist-alwayshired-95af27ceea4c305694571232b0ac5d8b?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=2
data scientist,2,Senior Data Scientist,RAZER (ASIA-PACIFIC) PTE. LTD.,South,,,Permanent ...,Senior Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/senior-data-scientist-razer-0184829ec3964c61458fb3bdce3ee6e1?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=2
data scientist,2,Senior Data Scientist,RAZER (ASIA-PACIFIC) PTE. LTD.,South,,,Permanent ...,Senior Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/senior-data-scientist-razer-27cd69442033b4da4759052cd3e84e37?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=2
data scientist,0,"Data Scientist, SMAI",MICRON SEMICONDUCTOR ASIA OPERATIONS PTE. LTD.,North,,,Full Time,Fresh/entry level,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/data-scientist-smai-micron-semiconductor-asia-operations-585458db32602bb99601b1e8afd0238b?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0
data scientist,0,Senior Data Scientist,RAZER (ASIA-PACIFIC) PTE. LTD.,South,,,Permanent ...,Senior Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/senior-data-scientist-razer-0184829ec3964c61458fb3bdce3ee6e1?source=MCF&event=SuggestedJob,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0
data scientist,0,SMAI Senior Data Scientist,MICRON SEMICONDUCTOR ASIA OPERATIONS PTE. LTD.,North,,,Full Time,Fresh/entry level,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/smai-senior-data-scientist-micron-semiconductor-asia-operations-4be1bab3bfe87948f04065cc2cac657a?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=0
data scientist,1,Senior Data Scientist,RAZER (ASIA-PACIFIC) PTE. LTD.,South,,,Permanent ...,Senior Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/senior-data-scientist-razer-d83900a23a8c24708e67fa8299903e6f?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=1
data scientist,1,Data Science Technical Professional,HAL COMPLETIONS MFG PTE. LTD.,West,,,Full Time,Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/data-science-technical-professional-hal-completions-mfg-c460fa24eec2f4fd8da95ec6c4c7b85b?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=1
data scientist,2,Research Scientist (Data Analytics & Machine Learning),ALWAYSHIRED PTE. LTD.,Islandwide,,,Permanent ...,Professional,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/research-scientist-alwayshired-95af27ceea4c305694571232b0ac5d8b?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=2
data scientist,2,Senior Data Scientist,RAZER (ASIA-PACIFIC) PTE. LTD.,South,,,Permanent ...,Senior Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/senior-data-scientist-razer-0184829ec3964c61458fb3bdce3ee6e1?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=2
data scientist,2,Senior Data Scientist,RAZER (ASIA-PACIFIC) PTE. LTD.,South,,,Permanent ...,Senior Executive,Engineering,https://www.mycareersfuture.gov.sg/job/engineering/senior-data-scientist-razer-27cd69442033b4da4759052cd3e84e37?source=MCF&event=Search,https://www.mycareersfuture.gov.sg/search?search=data+scientist&sortBy=new_posting_date&page=2
